Value,Parameter
2000.0,CaMKII_i
2000.0,CaM_i
10000.0,Ca_i
1e-08,D_SURF
1e-06,D_VOL
1500000.0,ITERATIONS
1e-08,MCELL_DIFFUSION_CONSTANT_2D_NMDAR
1e-06,MCELL_DIFFUSION_CONSTANT_3D_Ca
1e-06,MCELL_DIFFUSION_CONSTANT_3D_CaM
1e-06,MCELL_DIFFUSION_CONSTANT_3D_CaMKII
1e-06,MCELL_DIFFUSION_CONSTANT_3D_PP1
1.0,NA_um3
300.0,NMDAR_i
1000.0,PP1_i
1.0,VOL_RXN
0.50588,VolCP
0.0307,VolPM
0.0,k_P_CaMKII286
0.0,k_P_CaMKII306
0.0,k_cat
1040.0,koff_1CaCaM
0.39,koff_2CaCaM
742.0,koff_3CaCaM
980.0,koff_4CaCaM
0.0,koff_CaMKII_NMDAR
0.0,koff_CaMKII_P_NMDAR
0.0,koff_CaM_Ca4_CaMKII286_0
0.0,koff_CaM_Ca4_CaMKII286_P
0.0,koff_cam_ca4_camkii
0.0,koff_camkii_inact
257000000.0,kon_1_CaCaM
229000.0,kon_2_CaCaM
21400000.0,kon_3_CaCaM
110000000.0,kon_4_CaCaM
0.0,kon_CaMKII_NMDAR
0.0,kon_CaMKII_P_NMDAR
0.0,kon_cam_ca4_camkii
0.0,kon_camkii_act
